,Unnamed: 0,Country,Region,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,Happiness Rank,Year
0,0,Finland,Western Europe,7.842,1.446,1.106,0.741,0.691,0.124,0.481,3.253,1,2021
1,1,Denmark,Western Europe,7.62,1.502,1.108,0.763,0.686,0.208,0.485,2.868,2,2021
2,2,Switzerland,Western Europe,7.571,1.566,1.079,0.816,0.653,0.204,0.413,2.839,3,2021
3,3,Iceland,Western Europe,7.554,1.482,1.172,0.772,0.698,0.293,0.17,2.967,4,2021
4,4,Netherlands,Western Europe,7.464,1.501,1.079,0.753,0.647,0.302,0.384,2.798,5,2021
5,5,Norway,Western Europe,7.392,1.543,1.108,0.782,0.703,0.249,0.427,2.58,6,2021
6,6,Sweden,Western Europe,7.363,1.478,1.062,0.763,0.685,0.244,0.448,2.683,7,2021
7,7,Luxembourg,Western Europe,7.324,1.751,1.003,0.76,0.639,0.166,0.353,2.653,8,2021
8,8,New Zealand,North America and ANZ,7.277,1.4,1.094,0.785,0.665,0.276,0.445,2.612,9,2021
9,9,Austria,Western Europe,7.268,1.492,1.062,0.782,0.64,0.215,0.292,2.784,10,2021
10,10,Australia,North America and ANZ,7.183,1.453,1.076,0.801,0.647,0.291,0.317,2.598,11,2021
11,11,Israel,Middle East and North Africa,7.157,1.376,1.074,0.788,0.509,0.208,0.119,3.083,12,2021
12,12,Germany,Western Europe,7.155,1.48,0.993,0.757,0.6,0.195,0.306,2.824,13,2021
13,13,Canada,North America and ANZ,7.103,1.447,1.044,0.798,0.648,0.246,0.335,2.585,14,2021
14,14,Ireland,Western Europe,7.085,1.644,1.092,0.753,0.606,0.238,0.367,2.384,15,2021
15,15,Costa Rica,Latin America and Caribbean,7.069,1.134,0.966,0.722,0.673,0.105,0.083,3.387,16,2021
16,16,United Kingdom,Western Europe,7.064,1.423,1.062,0.757,0.58,0.34,0.306,2.596,17,2021
17,17,Czech Republic,Central and Eastern Europe,6.965,1.37,1.09,0.703,0.58,0.052,0.046,3.124,18,2021
18,18,United States,North America and ANZ,6.951,1.533,1.03,0.621,0.554,0.252,0.154,2.807,19,2021
19,19,Belgium,Western Europe,6.834,1.463,0.998,0.747,0.489,0.088,0.187,2.862,20,2021
20,20,France,Western Europe,6.69,1.421,1.081,0.804,0.536,0.092,0.235,2.521,21,2021
21,21,Bahrain,Middle East and North Africa,6.647,1.409,0.899,0.662,0.661,0.246,0.139,2.631,22,2021
22,22,Malta,Western Europe,6.602,1.411,1.055,0.747,0.664,0.275,0.183,2.268,23,2021
23,23,Taiwan Province of China,East Asia,6.584,1.48,0.982,0.665,0.49,0.142,0.139,2.687,24,2021
24,24,United Arab Emirates,Middle East and North Africa,6.561,1.555,0.86,0.594,0.67,0.236,0.223,2.422,25,2021
25,25,Saudi Arabia,Middle East and North Africa,6.494,1.435,0.964,0.571,0.603,0.09,0.163,2.668,26,2021
26,26,Spain,Western Europe,6.491,1.375,1.057,0.826,0.462,0.135,0.124,2.513,27,2021
27,27,Italy,Western Europe,6.483,1.393,0.94,0.798,0.379,0.133,0.047,2.794,28,2021
28,28,Slovenia,Central and Eastern Europe,6.461,1.36,1.093,0.722,0.69,0.122,0.085,2.388,29,2021
29,29,Guatemala,Latin America and Caribbean,6.435,0.845,0.79,0.519,0.638,0.163,0.105,3.375,30,2021
30,30,Uruguay,Latin America and Caribbean,6.431,1.164,1.042,0.649,0.625,0.128,0.223,2.6,31,2021
