,Unnamed: 0,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Year
0,0,Switzerland,Western Europe,1,7.587,1.39651,0.94143,0.66557,0.41978,0.29678,2015
1,1,Iceland,Western Europe,2,7.561,1.30232,0.94784,0.62877,0.14145,0.4363,2015
2,2,Denmark,Western Europe,3,7.527,1.32548,0.87464,0.64938,0.48357,0.34139,2015
3,3,Norway,Western Europe,4,7.522,1.459,0.88521,0.66973,0.36503,0.34699,2015
4,4,Canada,North America and ANZ,5,7.427,1.32629,0.90563,0.63297,0.32957,0.45811,2015
5,5,Finland,Western Europe,6,7.406,1.29025,0.88911,0.64169,0.41372,0.23351,2015
6,6,Netherlands,Western Europe,7,7.378,1.32944,0.89284,0.61576,0.31814,0.4761,2015
7,7,Sweden,Western Europe,8,7.364,1.33171,0.91087,0.6598,0.43844,0.36262,2015
8,8,New Zealand,North America and ANZ,9,7.286,1.25018,0.90837,0.63938,0.42922,0.47501,2015
9,9,Australia,North America and ANZ,10,7.284,1.33358,0.93156,0.65124,0.35637,0.43562,2015
10,10,Israel,Middle East and North Africa,11,7.278,1.22857,0.91387,0.41319,0.07785,0.33172,2015
11,11,Costa Rica,Latin America and Caribbean,12,7.226,0.95578,0.86027,0.63376,0.10583,0.25497,2015
12,12,Austria,Western Europe,13,7.2,1.33723,0.89042,0.62433,0.18676,0.33088,2015
13,13,Mexico,Latin America and Caribbean,14,7.187,1.02054,0.81444,0.48181,0.21312,0.14074,2015
14,14,United States,North America and ANZ,15,7.119,1.39451,0.86179,0.54604,0.1589,0.40105,2015
15,15,Brazil,Latin America and Caribbean,16,6.983,0.98124,0.69702,0.49049,0.17521,0.14574,2015
16,16,Luxembourg,Western Europe,17,6.946,1.56391,0.91894,0.61583,0.37798,0.28034,2015
17,17,Ireland,Western Europe,18,6.94,1.33596,0.89533,0.61777,0.28703,0.45901,2015
18,18,Belgium,Western Europe,19,6.937,1.30782,0.89667,0.5845,0.2254,0.2225,2015
19,19,United Arab Emirates,Middle East and North Africa,20,6.901,1.42727,0.80925,0.64157,0.38583,0.26428,2015
20,20,United Kingdom,Western Europe,21,6.867,1.26637,0.90943,0.59625,0.32067,0.51912,2015
21,21,Oman,Middle East and North Africa,22,6.853,1.36011,0.76276,0.63274,0.32524,0.21542,2015
22,22,Venezuela,Latin America and Caribbean,23,6.81,1.04424,0.72052,0.42908,0.11069,0.05841,2015
23,23,Singapore,Southeast Asia,24,6.798,1.52186,1.02525,0.54252,0.4921,0.31105,2015
24,24,Panama,Latin America and Caribbean,25,6.786,1.06353,0.79661,0.5421,0.0927,0.24434,2015
25,25,Germany,Western Europe,26,6.75,1.32792,0.89186,0.61477,0.21843,0.28214,2015
26,26,Chile,Latin America and Caribbean,27,6.67,1.10715,0.85857,0.44132,0.12869,0.33363,2015
27,27,Qatar,Middle East and North Africa,28,6.611,1.69042,0.79733,0.6404,0.52208,0.32573,2015
